review_body,url,title,locality
"
A premium colony of South Delhi, Defence Colony is known for its lavish and expensive lifestyle. Till some time back, Defence Colony was just a small colony of officers having a few bungalows. However, today, it has transformed into an extensive residential area occupied by the elite class. Surrounded by Lajpat Nagar, Lodhi Colony, South Extension and Greater Kailash I, Defence Colony is a central location of Delhi.
A major reason for many to live and invest in Defence Colony is that it is easily accessible by all means of public transport including autos, taxis, buses as well as the Delhi Metro. One of the safest localities in the city, Defense Colony is secure within a wall with multiple gates limiting entry and exit of people.
Till some time back, this was a heavy traffic zone for people who wanted to crossover from South Extension to Lajpat Nagar but now, thanks to the flyovers, the traffic at the busy junctions around the colony has eased out considerably. All this makes Defense Colony a much sought after locality in Delhi, and hence the property prices are high in this area. Defence Colony has a number of parks, schools, colleges and other higher education institutes. It does not matter if the prices are sky rocketing or falling, Defence Colony will always continue to be one of the most sought after areas of South Delhi.
The locality is situated at a distance of 10 km from Delhi railway station and 15 km from old Delhi railway station. There are several schools like Govt Boys Sr Sec School, South Delhi Public School, Maharishi Ved Vidhya Bhawan and many more. Hospitals in the locality include Sharp Sight Centre, Mother and Child Hospital, Prime Clinic.
Pros:
Centrally located, thus good connectivity.
In addition to local transport, the locality also has metro connectivity.
",http://www.magicbricks.com/Defence-Colony-in-New-Delhi-Overview,"
Overview of Defence Colony, New Delhi
","
Defence Colony, New Delhi , 
"
"
Chittaranjan Park was established in 1960 by the name East Pakistan Displaced Persons colony. By 1980Ã¢ÂÂs a number of Bengali families who had lost their homes took refuge here and soon it was rechristened as Chittaranjan Park or CR Park.
Located in the south of Delhi, CR Park is dominated by a Bengali culture and cuisine. Originally, the Government had given plots on a lease of 99 years, but later it was renewed into freehold possession. Some 2000 plots, divided into 11 blocks, A to K and a lot of small markets were formed. In the 90s, more people shifted to CR Park and more blocks had to be added to the list.
Chittaranjan Park has a famous freshwater fish market which is an essential part of Bengali food. A huge Kali Temple and a number of cultural centers form a part of this locality. The local markets specialize in Bengali sweets and clothes. Most of the inhabitants are well known government officials and media persons.
An estimated 3000 Bengali families reside here and the area has proven to be a significant colony which portrays Bengali culture in Delhi. The volatile growth of property rates in this area has made CR Park a sought after locality. Chittaranjan Park is one of the premium areas of Delhi. It is a safe, neat and clean area with lots of green patches. Chittaranjan Park is surrounded by Nehru Place, Kalkaji, Greater Kailash and Govindpuri. Hence, a number of office goers take up rented accommodation in this area.
Pros
Close proximity to sought after commercial and shopping localities such as GK, Kalkaji, Nehru Place and Govindpuri.
",http://www.magicbricks.com/Chittaranjan-Park-in-New-Delhi-Overview,"
Overview of Chittaranjan Park, New Delhi
","
Chittaranjan Park, New Delhi , 
"
"
Alaknanda is one of the finest colonies of South Delhi, close to major destinations like CR Park, Greater Kailash, Nehru Place, Saket etc. It is surrounded by a couple of big shopping complexes in CR Park, which is a Bengali hub. The best part about this locality is the community feeling and the green environment of the area. It has some of the best restaurants, schools, clubs, all at a stones throw distance.
Alaknanda is now a vibrant community of affluent people with one of the best standards of living in South Delhi. It has everything a global citizen would want in a modern area and lifestyle. At the same time the ethos of the place remains grounded and its multi ethnicity crowd makes it a truly global living place.
It is a well-developed locality with all the necessary amenities within walking distance. There are good schools, colleges, transport facilities, retail and wholesale markets all within walking distance. There is a play area for children within the complex. The complex is gated for added security. There is adequate space for parking vehicles within the complex. There is no problem of water, gas, laundry etc.
Major markets such as Nehru Place, Kalkaji are nearby. The Kalkaji Metro Station is also located close to the locality.
Pros:
Metro connectivity
Proximity to schools and markets.
",http://www.magicbricks.com/Alaknanda-in-New-Delhi-Overview,"
Overview of Alaknanda, New Delhi
","
Alaknanda, New Delhi , 
"
"
Janakpuri is one of the oldest residential localities of West Delhi. Janakpuri is divided into four major blocks namely A, B, C and D and then further subdivided into sub-blocks. It was once the largest planned residential colony in Asia.
It has a number of popular religious sites. The three religious centers, a temple, a Gurudawara and a church stand next to each other making it a rare sight. Janakpuri is fairly well connected by both DTC buses and the metro. Three metro-stations Uttam Nagar East, Janakpuri East and Janakpuri West on the Dwarka-Noida line fall in Janakpuri. Auto rickshaws are easily available and service the Delhi University bound commuters or other office regulars.
Janakpuri consists of both DDA flats and private houses. The blocks have small neighborhood parks making this area fairly green. Most of the blocks have at least one exclusive shopping center. However, the more popular ones are those in the C-4-E market and the B-1 super market.
Block B happens to be the more premium part of Janakpuri due to its high capital rates and the general quality of construction, the size of the houses and the facilities provided.
The residential as well as commercial Sector in Janakpuri has exhibited steady growth. The current price of an independent floor is Rs 9000 to 15000 per sq ft. The flats in the locality are of four types Janta flats, LIG, MIG and HIG.
",http://www.magicbricks.com/Janakpuri-in-New-Delhi-Overview,"
Overview of Janakpuri, New Delhi
","
Janakpuri, New Delhi , 
"
"
Dwarka, a sub-city located in South West Delhi, has 29 sectors out of which 23 are fully developed. It derives its name from the legendary Dwaraka Kingdom of Mathura. Not very far from Gurgaon, Dwarka is 10 km the International Airport.
Now with the opening of the Airport Express Line, the travel time from Dwarka Sector 21 Metro station to the Airport is covered in approximately three minutes. Dwarka is home to the very famous temple of Dada Dev, which has idols of almost all the Indian Gods.
The city is planned in a way that all sectors have equal proxmity to major markets. The most sought after markets are those of Dwarka Sectors 6,10 and 12. From a pin to a pen, everything is available here. Ample parking space saves shoppers from parking pangs and connectivity with the Metro makes it possible for people from other areas to come here for a fulfilling shopping experience.
",http://www.magicbricks.com/Dwarka-in-New-Delhi-Overview,"
Overview of Dwarka, New Delhi
","
Dwarka, New Delhi , 
"
"
Green Park is an affluent residential locality in South Delhi surrounded on the four sides by major avenues namely Inner Ring Road, Outer Ring Road, Aurobindo Marg and Africa Avenue. The locality is near one of the largest green areas in the city and is thus, considered as one of the most green localities in Delhi.
It is divided into 2 parts, Green Park Main and Green Park Extension. Green Park main hosts a medium sized market with several restaurants and a shopping complex. Green Park Extension on the other hand mostly comprises of residential areas.
It has a number of open and wooded spaces in its vicinity such as the Deer Park, District Park and Rose Garden. These are popular areas among morning walkers and laughter clubs.
The locality has lavish independent houses and flats. All configurations ranging from 2 to 5 BHK are available for sale and rent.
Nearby localities include Yusuf Sarai, Gulmohar Park, Hauz Khas Enclave, Safdarjung Development Area, Hauz Khas, Khel Gaon, Sarvapriya Vihar, Gautam Nagar etc.
The locality is a well planned, peaceful and pollution free area. It is centrally located and has two of the biggest government hospitals of Delhi, AIIMS and Safdarjung Hospital, in close proximity.
Metro connectivity and proximity to all the major markets make it a well connected place to live in. Most of the roads in Green Park are wide as compared to other colonies. Delhi University colleges such as Gargi and Kamla Nehru are within close proximity.
",http://www.magicbricks.com/Green-Park-in-New-Delhi-Overview,"
Overview of Green Park, New Delhi
","
Green Park, New Delhi , 
"
"
Hauz Khas is one of the most affluent and premium neighborhoods of South Delhi, known for the historic Hauz Khas Complex. It is centrally located. It was developed during the 1960s by DLF (Delhi Land and Finance Ltd as Hauz Khas Enclave. Later it was made a district of South Delhi encompassing some more neighboring areas.
Hauz Khas Enclave as it is known, consists of A to H, K to M, P to R, X to Z Blocks. Block E is the main market in the area and lies in the middle of the colony. Block G and the Aurobindo Marg market are other markets located close by and has areas which are peaceful and offer a lot of greenery. It is surrounded by Green Park and SDA (Sri Aurobindo Marg) to the west, Gulmohar Park (Balbir Saxena Marg) towards the North, Sarvapriya Vihar (Outer Ring Road) towards the South and Asiad village (August Kranti Marg, Siri Fort) to the East.
The locality also has some historical places in its vicinity such as the Hauz Khas complex which consists of the Hauz Khas Lake or Royal Tank, a Mosque and a Tomb. The famous designer boutique and restaurants hub, the Hauz Khas Village, is also close by and is a major crowd puller.
Pros:
One of the greenest localities in Delhi
Metro connectivity Centrally located One of the most premium localities to live in.
",http://www.magicbricks.com/Hauz-Khas-in-New-Delhi-Overview,"
Overview of Hauz Khas, New Delhi
","
Hauz Khas, New Delhi , 
"
"
Jasola Vihar is located in South Delhi on the road connecting Mathura Road to Faridababd. It is a well organized area and is known for both residential as well as commercial developments. It is situated just across Sarita Vihar and is strategically located behind the Apollo Hospital.
The locality largely has DDA flats - Studio (Janta) Apartments, 1BHK (LIG), 2BHK (MIG) and 3BHK (HIG) flats. The DDA 2010 allotment scheme had allotted around 320 new 3BHK (HIG) flats which were high-rise multi-storey apartments with lift and power back-up. The locality also has builder floors and independent houses. The area also has a commercial district centre with retail/office spaces.
Jasola Vihar is well connected to Faridabad and Noida. The location is in close proximity to Apollo Hospital, Corporate Towers, various schools, institutes, malls, DDA sports complex, District center and banks. Living-N-Style Mall is popular among the youth of the area. Several schools, neighborhood markets and petrol pumps are present in close proximity to the locality. It also has metro connectivity.
It is supported by the Commercial market of Sarita Vihar which also hosts offices of all major public utilities. It is a most modern complex attracting tourist, foreigners and businessmen from all over the world. It is considered a matter of pride to own a shop or a office in this area.
Pros:
Metro connectivity
Ease of travel to Faridabad and Noida
Proximity to Apollo Hospital.
",http://www.magicbricks.com/Jasola-Vihar-in-New-Delhi-Overview,"
Overview of Jasola Vihar, New Delhi
","
Jasola Vihar, New Delhi , 
"
"
Karol Bagh is a well developed residential cum commercial hub in Delhi. During partition many refugees from Pakistan and Bangaldesh came to Delhi resulting in new settlements in and around Delhi. Karol Bagh was one of these. Many of these refugees were traders by profession who set up their businesses in the area and their generations still continue to do the same. Today it is the business hub of Delhi.
All property types are available in the area such as huge bungalows, flats and kothis. These are for sale as well as rent. Property prices in Karol Bagh have always been high. With the coming of the Metro this trend has clearly intensified.
Karol Bagh market is one of the best markets in Delhi where one can find everything from clothes to shoes to jewellery. Even spare parts, mobile and electronic gadgets are available in the well known Gaffar market. Karol Bagh is undoubtedly among the most convenient locations across the whole of New Delhi that offers multiple benefits ranging from residential prospects to fully commercial ones. Shopping here is an experience in itself where an individual gets to fulfill his/her demand for imported products also.
It is located just 6 km from both new and old Delhi Railway Stations. Metro Station, hospitals, banks, hotels and several food joints are present in the locality.
Surrounded by Patel Nagar and Rajinder Nagar, it is spread over 30 sq km of area and is easily accessible by road via auto rickshaws, buses, taxi and by the Metro.
Pros:
Metro connectivity
Presence of one of the largest street markets of Delhi
Cons:
High property prices.
",http://www.magicbricks.com/Karol-Bagh-in-New-Delhi-Overview,"
Overview of Karol Bagh, New Delhi
","
Karol Bagh, New Delhi , 
"
"
Paschim Vihar is an upmarket residential colony in West Delhi. It is strategically located on the main Rohtak Road (NH-10) with all modern facilities. There are a number of Group Housing Societies, DDA Flats and private societies in the area. It is a relatively old area.
The Outer Ring Road divides it into two parts. The Western part is relatively older than the eastern side. The area is divided into four wards: Paschim Vihar North and Paschim Vihar South cover the east side as well as Jwala Heri Village, Guru Harkishan Nagar and Peera Garhi cover the west side. The eastern part was mostly developed by the DDA while the west was developed privately.
There are also many commercial office spaces like the Maruti showroom, banquets halls and banks etc in the vicinity.
The area has a highly cosmopolitan population comprising of Hindus, Sikhs and Muslims. It is close to Mundaka and Paschim Vihar Metro Station, bus stand, local markets such as the Jwala Heri market, major corporate offices in Udyog Nagar on New Rohtak Road etc. It is also serviced by autos and rickshaws.
Reputed schools such as Vishal Bharti Public School, Indraprastha World School, GD Goenka Public School, and many more are located nearby. Various hotels and hospitals are also in close proximity.
Pros:
Good road and metro connectivity
Green area with plenty of parks and jogging tracks
Well developed local markets.
",http://www.magicbricks.com/Paschim-Vihar-in-New-Delhi-Overview,"
Overview of Paschim Vihar, New Delhi
","
Paschim Vihar, New Delhi , 
"
